Parameter 1, Parameter 2, Parameter 3, Parameter 4, Parameter 5, Parameter 6, Parameter 7, Parameter 8, Objective 1, Objective 2,Purity,Recovery,Specific energy,Productivity, Cycles, Number
199.6447956,51.50719795,42.18502513,0.498568279,0.016835849,0.417461762,1.738711784,0.316272044,26.47477251,1.126015974,0.888817895,0.220230305,26.47477251,0.888086869,150,73255128
131.8013803,99.04853366,163.2645746,0.211466435,0.016602766,0.097101802,1.665534426,0.894493805,22.76534228,1.043042761,0.980072158,0.497399749,22.76534228,0.958733464,151,24166660
155.60698,107.2087108,60.96418022,0.444740165,0.020859464,0.181134014,0.947569876,1.747938614,19.20020021,1.139394282,0.907256131,0.562708304,19.20020021,0.87765931,166,50410007
145.3117975,37.69346271,174.1431668,0.316251469,0.019587659,0.388432442,1.957831154,0.340596751,22.99370851,0.940433413,0.958235828,0.397669074,22.99370851,1.063339506,143,83951621
72.91160813,163.2402616,188.5832576,0.257469637,0.027528611,0.493837985,1.747555672,1.447155663,19.35332324,1.311875545,0.962842135,0.732568482,19.35332324,0.76226743,160,62539040
109.1825915,85.16619088,116.366779,0.091028441,0.028576747,0.125477759,1.725977063,0.584860865,26.52352015,1.423120594,0.99999158,0.340611693,26.52352015,0.702681139,140,25733125
159.1703797,51.50698247,98.03029319,0.419984606,0.019085156,0.429467416,0.911818379,1.440482993,19.10756425,0.950773721,0.923976258,0.657579229,19.10756425,1.051774968,209,32192019
100.6500949,180.6391249,18.2873004,0.156158086,0.026538102,0.251270658,1.837284787,1.108284094,29.14622604,1.904499081,0.982868504,0.249463083,29.14622604,0.525072451,168,54191021
176.4206444,72.62556422,101.238669,0.260738134,0.018920993,0.248938826,0.488473209,1.017842338,18.23923256,1.451388973,0.929031891,0.816957449,18.23923256,0.688995176,221,37718533
177.9642078,157.110303,187.6787894,0.227153341,0.028094644,0.098482356,2.349426965,0.154571827,24.42760535,1.557549434,0.974059888,0.278469624,24.42760535,0.642034197,300,75329212
174.5422245,3.298449045,178.4383676,0.391269555,0.015446279,0.318850812,1.448693686,1.484427169,23.19874658,0.890110862,0.944081598,0.459054213,23.19874658,1.123455564,110,4165007
